X,Y
31.31573694,44.28475195
31.05619996,44.47027445
30.7671207,44.67347283
30.45084009,44.89194379
30.10972743,45.11764588
29.75891406,45.35703746
29.395533,45.59467028
29.02783368,45.82516842
28.67422212,46.0483546
28.33718791,46.25220788
28.01588826,46.44333035
27.71197464,46.62126051
27.41964803,46.78982329
27.12780542,46.9502596
26.84371034,47.10929947
26.55109428,47.27068862
26.24952949,47.43446998
25.93911207,47.60562486
25.61755794,47.78505073
25.27884245,47.95995665
24.9291209,48.14241424
24.57316333,48.31949032
24.21697186,48.49331547
23.86769546,48.66557289
23.52033705,48.82368518
23.17925335,48.97589177
22.84864037,49.12050323
22.52375503,49.25989365
22.20692498,49.39321861
21.89792843,49.530528
21.58389123,49.66269435
21.26141368,49.79109177
20.93123881,49.92011882
20.59750694,50.05275186
20.2541069,50.18172447
19.90632133,50.31433615
19.55296061,50.45085765
19.19290931,50.58218448
18.83570924,50.71414781
18.47769707,50.83422565
18.12719667,50.95806791
17.79022077,51.07464895
17.45022321,51.1850922
17.11523898,51.29588974
16.77386499,51.39718296
16.43560095,51.49948564
16.10214948,51.59789305
15.76096785,51.69608951
15.42175785,51.79560096
15.08190058,51.8927738
14.73982937,51.98801851
14.39332068,52.07757514
14.04144138,52.16593228
13.6889563,52.25184095
13.34288808,52.33788274
12.98708233,52.42358641
12.6276839,52.50324391
12.26453051,52.58103831
11.90243603,52.65592062
11.54324027,52.73165565
11.17549496,52.79820633
10.8149068,52.86885996
10.460092,52.93985995
10.1068519,53.00797687
9.752006226,53.06582994
9.401807999,53.12441054
9.055692158,53.17991681
8.713283065,53.23249296
8.355601993,53.27698196
8.001194426,53.32628853
7.64583619,53.37701854
7.282526459,53.41846467
6.922762286,53.46074216
6.55687201,53.49729188
6.195783097,53.5345373
5.83145332,53.56577118
5.468952991,53.59429811
5.109682893,53.62371869
4.753506503,53.6504115
4.403968259,53.6706448
4.056088104,53.6920308
3.705491988,53.70759469
3.355766635,53.72430474
3.006218999,53.73510162
2.656346644,53.74705253
2.304379704,53.75663933
1.945425782,53.76385453
1.573478489,53.76171276
1.203054594,53.7637707
0.818447997,53.75620365
0.430350334,53.74912011
0.053653816,53.74612253
-0.324745216,53.73694525
-0.701407281,53.72504504
-1.071667961,53.71394144
-1.439646143,53.69379426
-1.799971139,53.67473585
-2.151971081,53.65372718
-2.499310681,53.63064697
-2.841980853,53.60558715
-3.182824682,53.57837537
-3.531112554,53.54196319
-3.87965496,53.50932808
-4.22997707,53.47407844
-4.58774358,53.43549347
-4.963816169,53.38605776
-5.336761355,53.34023715
-5.714602923,53.29093278
-6.092045254,53.23881786
-6.46443523,53.18750609
-6.836770331,53.12763022
-7.199794522,53.06658939
-7.548087923,53.00835468
-7.886701982,52.94943337
-8.220876678,52.88900819
-8.535558994,52.83289844
-8.858282737,52.76760147
-9.190190611,52.69823095
-9.537621686,52.62319965
-9.898265644,52.54533284
-10.26588521,52.46309045
-10.64360227,52.37553977
-11.03103667,52.27739436
-11.40866943,52.18629435
-11.7939676,52.08501175
-12.16822751,51.9836109
-12.52688945,51.88608024
-12.87538771,51.78868161
-13.2086655,51.69313547
-13.53422767,51.59747417
-13.85288286,51.50159773
-14.16309618,51.40612839
-14.46879093,51.30995123
-14.77851731,51.21030327
-15.09455739,51.10631068
-15.41718138,50.99549572
-15.74413506,50.88298718
-16.08068647,50.76450227
-16.43169625,50.63584226
-16.79059464,50.50345333
-17.16219316,50.36096944
-17.53117341,50.21625897
-17.90093046,50.07001884
-18.2759663,49.91623466
-18.63918978,49.76797815
-19.00162688,49.61476005
-19.35420043,49.46449017
-19.69750585,49.31140215
-20.02215227,49.16574646
-20.33472692,49.02115592
-20.63451548,48.88011666
-20.92971815,48.73895323
-21.22476454,48.59558173
-21.52269026,48.44675596
-21.81540976,48.30162811
-22.11663961,48.14976366
